DATE,AMBIENT_TEMP,MODULE_TEMP,SUN_HOURS,YIELD
15-05-2020,30.10199783445378,40.87412641820729,4.758980383009334,5754.0
16-05-2020,28.693977978244625,38.97122218338003,4.662885753149619,6292.0
17-05-2020,29.62990882044817,42.43657514369748,5.732761176036596,7045.0
18-05-2020,25.22010856078432,33.84021673622782,3.816491279938802,4998.0
19-05-2020,27.493836411458336,38.07785602234624,4.511131801381191,6449.0
20-05-2020,27.210056772492266,40.35306522886827,4.561357072,8248.714286
21-05-2020,29.383560797255026,45.33542748,5.8890425858041295,7243.0
22-05-2020,28.61286954,41.12339551848739,5.529506897477904,6848.0
23-05-2020,29.38759058457341,45.66303628864088,6.526639284670715,7965.857143
24-05-2020,29.915381804388417,43.72707038552753,6.233823612027857,7536.0
25-05-2020,29.942646672900956,45.10686872,6.807852042754478,8268.0
26-05-2020,29.596172754435106,43.86974369449113,6.062268104251785,7456.428571
27-05-2020,29.593112092436968,41.67276759302831,5.134159039906335,6164.0
28-05-2020,29.773013230783597,43.83222563391151,6.507684080987125,7976.714286
29-05-2020,28.059088335142857,44.41899472519048,6.198915310352571,7564.0
30-05-2020,26.87503912455649,39.17429218552754,5.468499983833808,6753.875
31-05-2020,27.066153883380014,37.55329119,4.406040773300689,5803.0
01-06-2020,26.64328674200963,36.41016834,4.412274548106372,5507.875
02-06-2020,25.978487280672265,37.30092915,5.370851576352976,7029.0
03-06-2020,26.37853990438096,37.922651163047625,5.481864612142617,7340.375
04-06-2020,27.261679816619974,40.536791781512605,6.167636970751524,7570.857143
05-06-2020,26.71711648450047,39.71198696367881,5.797920431651667,7161.142857
06-06-2020,26.21718273389357,36.66908999094306,4.881456969517428,5940.0
07-06-2020,26.862900335200752,40.54402347973856,6.10051658112774,5267.714286
08-06-2020,27.511551747733964,40.87831823633555,6.328407669483717,7863.285714
09-06-2020,28.03983971111111,41.23770040634921,6.188381238876664,7455.142857
10-06-2020,26.66687499925304,36.49721797787116,4.808010374573375,5911.0
11-06-2020,25.83795021232493,33.65386603986928,3.883413508327168,5256.875
12-06-2020,25.518057060410825,33.58812147880486,4.075321370234999,5440.5
13-06-2020,26.50030695210084,39.44357529066293,6.3472694978801165,6629.0
14-06-2020,25.573195055088703,36.26199036844069,5.281814478727619,2987.0
15-06-2020,26.655392516900093,37.22397116722688,4.942010067775238,5546.0
16-06-2020,26.55519364659196,36.59114522399628,4.494756107468514,5100.0
17-06-2020,25.589812645034044,34.393416022027644,4.247118372279637,5520.571429
